# master.sh manifest — 2026-06-29T02:49:06Z
# url	category	dir-name	tag	status
https://github.com/shiroproject/shiro.git	java	shiro		no-tag
https://github.com/apereo/cas.git	java	cas	v8.0.0-RC6	cloned
https://github.com/mitreid-connect/OpenID-Connect-Java-Spring-Server.git	java	openid-connect	mitreid-connect-1.3.4	cloned
https://github.com/spring-attic/spring-security-oauth.git	java	spring-security-oauth	jwt1.1.1.RELEASE	cloned
https://github.com/zalando/problem.git	java	zalando-problem	1.0.0	cloned
https://github.com/OWASP/java-html-sanitizer.git	java	java-html-sanitizer	release-20260313.1	cloned
https://github.com/zaproxy/zaproxy.git	java	zaproxy	w2026-06-24	cloned
https://github.com/google/guice.git	java	guice	snapshot20101120	cloned
https://github.com/dropwizard/dropwizard.git	java	dropwizard	v5.0.2	cloned
https://github.com/graphql-java/graphql-java.git	java	graphql-java	v26.0	cloned
https://github.com/apache/commons-lang.git	java	commons-lang	rel/commons-lang-3.20.0	cloned
https://github.com/apache/commons-collections.git	java	commons-collections	struts-1.1-RC1	cloned
https://github.com/apache/commons-io.git	java	commons-io	rel/commons-io-2.22.0	cloned
https://github.com/apache/commons-codec.git	java	commons-codec	rel/commons-codec-1.22.0	cloned
https://github.com/apache/commons-compress.git	java	commons-compress	rel/commons-compress-1.28.0	cloned
https://github.com/apache/poi.git	java	poi	trunk_20081106	cloned
https://github.com/apache/pdfbox.git	java	pdfbox	3.0.7	cloned
https://github.com/apache/tika.git	java	tika	tika-1.3	cloned
https://github.com/jhy/jsoup.git	java	jsoup	jsoup-1.22.2	cloned
https://github.com/skylot/jadx.git	java	jadx	v1.5.5	cloned
https://github.com/google/jimfs.git	java	jimfs	v1.3.1	cloned
https://github.com/openstreetmap/osmosis.git	java	osmosis	api0.6-java1.5	cloned
https://github.com/burningwave/core.git	java	burningwave	core-12.66.2	cloned
https://github.com/lionsoul2014/ip2region.git	java	ip2region	v3.16.0	cloned
https://github.com/apache/commons-math.git	java	commons-math	trunk_tmp_2012-03-01	cloned
https://github.com/apache/commons-text.git	java	commons-text	rel/commons-text-1.15.0	cloned
https://github.com/apache/commons-csv.git	java	commons-csv	rel/commons-csv-1.14.1	cloned
https://github.com/apache/commons-net.git	java	commons-net	v1-3-8	cloned
https://github.com/eclipse/eclipse-collections.git	java	eclipse-collections	junit-runner-expr	cloned
https://github.com/vavr-io/vavr.git	java	vavr	v1.0.1	cloned
https://github.com/amaembo/streamex.git	java	streamex	streamex-0.8.4	cloned
https://github.com/WebGoat/WebGoat.git	java	webgoat	vtest10	cloned
https://github.com/OWASP-Benchmark/BenchmarkJava.git	java	owasp-benchmark	1.1final	cloned
https://github.com/edu-secmachine/javulna.git	java	javulna	1.0	cloned
https://github.com/JoyChou93/java-sec-code.git	java	java-sec-code	v2.0.0	cloned
https://github.com/appsecco/dvja.git	java	dvja		no-tag
